id,starts,ends,duration,session_id,trial_id,t0,prod_onset_t0,prod_onset,prod_offset,stim_onset,stim_offset,prod_offset_t0,stim_onset_t0,stim_offset_t0
151,46623.8651979338,46637.2408770779,13.3756791440974,2,91,46629.8651979338,0,46629.8651979338,46631.2408770779,NaN,NaN,1.37567914409738,NaN,NaN
152,46628.9022819532,46642.2054021974,13.3031202442071,2,92,46634.9022819532,0,46634.9022819532,46636.2054021974,NaN,NaN,1.30312024420709,NaN,NaN
153,46634.0479943219,46647.4387232378,13.390728915896,2,93,46640.0479943219,0,46640.0479943219,46641.4387232378,NaN,NaN,1.39072891589603,NaN,NaN
154,46638.8570617943,46652.222151099,13.3650893047015,2,94,46644.8570617943,0,46644.8570617943,46646.222151099,NaN,NaN,1.36508930470154,NaN,NaN
155,46643.5247113835,46657.0267786115,13.5020672280007,2,95,46649.5247113835,0,46649.5247113835,46651.0267786115,NaN,NaN,1.50206722800067,NaN,NaN
156,46648.4428371987,46661.7972066658,13.3543694670952,2,96,46654.4428371987,0,46654.4428371987,46655.7972066658,NaN,NaN,1.35436946709524,NaN,NaN
157,46653.5566200398,46666.9298292213,13.3732091814963,2,97,46659.5566200398,0,46659.5566200398,46660.9298292213,NaN,NaN,1.37320918149635,NaN,NaN
158,46658.6652029791,46672.1319507426,13.4667477635012,2,98,46664.6652029791,0,46664.6652029791,46666.1319507426,NaN,NaN,1.46674776350119,NaN,NaN
159,46663.7520762631,46677.1936744079,13.4415981447964,2,99,46669.7520762631,0,46669.7520762631,46671.1936744079,NaN,NaN,1.44159814479644,NaN,NaN
160,46668.9711775425,46682.4160956369,13.4449180943993,2,100,46674.9711775425,0,46674.9711775425,46676.4160956369,NaN,NaN,1.44491809439933,NaN,NaN
161,46674.1535693589,46687.6816161931,13.5280468341953,2,101,46680.1535693589,0,46680.1535693589,46681.6816161931,NaN,NaN,1.52804683419527,NaN,NaN
162,46679.2476825177,46692.6790408177,13.4313582999966,2,102,46685.2476825177,0,46685.2476825177,46686.6790408177,NaN,NaN,1.43135829999665,NaN,NaN
163,46684.2664468187,46697.5839668445,13.3175200257974,2,103,46690.2664468187,0,46690.2664468187,46691.5839668445,NaN,NaN,1.31752002579742,NaN,NaN
164,46689.1887825584,46702.614890938,13.4261083796009,2,104,46695.1887825584,0,46695.1887825584,46696.614890938,NaN,NaN,1.42610837960092,NaN,NaN
165,46694.2873656416,46707.7249138478,13.4375482062023,2,105,46700.2873656416,0,46700.2873656416,46701.7249138478,NaN,NaN,1.43754820620234,NaN,NaN
166,46699.2182612787,46712.5937404258,13.3754791471001,2,106,46705.2182612787,0,46705.2182612787,46706.5937404258,NaN,NaN,1.37547914710012,NaN,NaN
167,46704.2142459096,46717.4855666358,13.2713207261986,2,107,46710.2142459096,0,46710.2142459096,46711.4855666358,NaN,NaN,1.27132072619861,NaN,NaN
168,46709.0098135711,46722.2471948118,13.2373812407022,2,108,46715.0098135711,0,46715.0098135711,46716.2471948118,NaN,NaN,1.23738124070223,NaN,NaN
169,46714.0379277265,46727.3222182562,13.2842905297002,2,109,46720.0379277265,0,46720.0379277265,46721.3222182562,NaN,NaN,1.28429052970023,NaN,NaN
170,46718.9884130433,46732.44374098,13.4553279367028,2,110,46724.9884130433,0,46724.9884130433,46726.44374098,NaN,NaN,1.45532793670282,NaN,NaN
171,46724.3226525771,46737.7827604413,13.4601078642008,2,111,46730.3226525771,0,46730.3226525771,46731.7827604413,NaN,NaN,1.46010786420084,NaN,NaN
172,46729.1974690527,46742.6583869046,13.4609178519022,2,112,46735.1974690527,0,46735.1974690527,46736.6583869046,NaN,NaN,1.4609178519022,NaN,NaN
173,46734.2567227322,46747.5701128206,13.3133900883986,2,113,46740.2567227322,0,46740.2567227322,46741.5701128206,NaN,NaN,1.31339008839859,NaN,NaN
174,46739.3186763901,46752.7015354253,13.3828590351986,2,114,46745.3186763901,0,46745.3186763901,46746.7015354253,NaN,NaN,1.38285903519863,NaN,NaN
